"X","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","near_bay","near_ocean","oneh_ocean","inland"
14435,-117.23,32.8,28,3379,918,1849,849,3.0293,241700,0,1,0,0
18522,-122.05,36.97,20,2428,473,1145,454,3.6797,263800,0,1,0,0
15153,-117.05,33.01,17,3430,425,1468,433,10.6186,429300,0,0,1,0
10326,-117.8,33.79,13,2021,362,1081,341,4.3269,231400,0,0,1,0
6600,-118.16,34.17,52,1193,228,703,221,3.1741,163800,0,0,1,0
6844,-118.13,34.07,20,2130,654,1870,578,2.3664,192200,0,0,1,0
1430,-122.03,37.98,45,2842,567,1261,535,3.6042,138200,1,0,0,0
19222,-122.71,38.46,23,3220,603,1299,591,3.9261,213300,0,0,1,0
3558,-118.56,34.24,23,2980,362,1208,378,8.1714,500001,0,0,1,0
15202,-117.11,32.91,15,1840,235,855,241,7.5992,310600,0,0,1,0
5106,-118.31,33.95,44,1558,333,1095,316,4.0043,133500,0,0,1,0
770,-122.09,37.65,35,1184,200,572,194,4.7143,193800,1,0,0,0
17020,-122.3,37.52,38,2769,387,994,395,5.5902,417000,0,1,0,0
14003,-117.1,34.57,6,5110,1044,1938,724,3.1917,112800,0,0,0,1
11737,-121.06,38.88,17,7635,1284,3096,1227,4.2917,184300,0,0,0,1
2429,-119.52,36.61,33,1225,275,1065,248,1.8958,55100,0,0,0,1
19436,-121.04,37.67,16,19,19,166,9,0.536,162500,0,0,0,1
8622,-118.38,33.86,15,1778,311,908,330,7.674,329300,0,0,1,0
1836,-122.3,37.9,37,2125,489,912,462,2.9219,217200,1,0,0,0
3597,-118.49,34.24,34,1971,316,917,307,6.0965,262300,0,0,1,0
14287,-117.12,32.72,36,6096,1285,3093,1229,3.37,159100,0,1,0,0
12779,-121.42,38.64,44,1728,367,1042,349,1.6033,58500,0,0,0,1
17767,-121.85,37.34,27,1481,409,1505,391,2.5769,137500,0,0,1,0
10731,-117.87,33.6,35,1598,398,782,411,5.1155,5e+05,0,0,1,0
2538,-122.01,39.74,20,2332,518,1856,495,2.1746,58700,0,0,0,1
11855,-120.46,39.83,18,3406,673,1567,617,2.2717,75900,0,0,0,1
10776,-117.9,33.65,28,2043,430,1108,452,5.2549,261800,0,0,1,0
16082,-122.49,37.74,52,2302,457,1154,424,4.5744,315200,0,1,0,0
19712,-121.65,39.16,16,5022,1103,2087,956,2.3963,114800,0,0,0,1
17078,-122.2,37.48,41,733,155,652,140,5.1654,233600,1,0,0,0
12296,-116.89,33.93,29,4549,916,2494,912,2.0976,72600,0,0,0,1
16981,-122.3,37.57,36,2406,436,1189,403,4.7917,276100,1,0,0,0
3266,-122.95,39.13,17,380,69,225,72,3.25,137500,0,0,0,1
13386,-117.56,34.12,4,6956,1271,3455,1228,4.7193,178700,0,0,0,1
19563,-120.96,37.59,11,4236,879,2410,850,2.3849,122000,0,0,0,1
8241,-118.19,33.77,21,2103,727,1064,603,1.6178,137500,0,1,0,0
6564,-118.13,34.2,46,1271,236,573,210,4.9312,240200,0,0,0,1
3141,-118.19,34.87,2,2103,389,923,338,5.0553,111100,0,0,0,1
16367,-121.3,38.01,30,2547,485,1547,501,3.994,95500,0,0,0,1
11079,-117.85,33.8,40,1461,286,1322,264,4.3269,194100,0,0,1,0
8500,-118.29,33.89,32,2355,583,1605,571,4.2171,218200,0,0,1,0
16222,-121.36,37.96,32,614,95,227,107,3.9922,247400,0,0,0,1
214,-122.22,37.79,46,2366,575,1647,527,2.6042,124700,1,0,0,0
4944,-118.28,34.02,46,1098,426,1510,374,2.1382,156300,0,0,1,0
1887,-119.98,38.93,25,1262,293,534,226,2.6607,90400,0,0,0,1
20011,-119.14,36.06,32,1838,441,1628,425,1.6452,41500,0,0,0,1
1176,-121.57,39.48,15,202,54,145,40,0.8252,42500,0,0,0,1
17506,-121.9,37.36,47,1007,245,581,240,2.9545,237500,0,0,1,0
10314,-117.8,33.85,23,3038,470,1568,438,5.6403,233000,0,0,1,0
4370,-118.28,34.11,46,1156,203,514,213,4.2019,352100,0,0,1,0
412,-122.28,37.89,52,1225,169,412,168,5.7912,327100,1,0,0,0
8171,-118.12,33.81,36,1665,291,721,294,4.6875,250700,0,0,1,0
14025,-117.15,32.76,43,2361,489,824,470,3.4196,302200,0,1,0,0
1641,-121.84,37.98,8,7505,1089,3325,1016,5.2699,204200,0,0,0,1
7287,-118.24,33.98,45,173,42,230,57,3.0724,110700,0,0,1,0
8378,-118.35,33.95,30,2661,765,2324,724,3.0519,137500,0,0,1,0
2692,-115.52,32.97,10,1879,387,1376,337,1.9911,67500,0,0,0,1
9047,-118.1,34.65,33,873,177,425,142,2.67,187500,0,0,0,1
16771,-122.47,37.69,27,2447,720,2104,657,3.449,239100,0,1,0,0
16978,-122.31,37.57,31,2197,477,1193,394,4.6371,271100,0,1,0,0
1533,-122.05,37.9,24,4125,1020,1699,873,2.9526,271000,1,0,0,0
17012,-122.28,37.53,34,1980,385,970,391,5.1207,310900,0,1,0,0
17341,-120.45,34.86,23,3415,778,1492,633,2.2791,114800,0,1,0,0
11537,-118.09,33.77,27,2301,640,847,627,1.7208,67500,0,0,1,0
11441,-117.97,33.73,18,3698,574,2046,614,6.2984,269800,0,0,1,0
18951,-122.05,38.26,32,1070,199,631,195,2.6827,98900,0,0,0,1
3578,-118.54,34.24,24,4631,1164,2360,1083,3.0977,264000,0,0,1,0
